City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,Mzimba,-11.9,33.6,16.72,97,100,2.46,MW,2023-04-22 03:32:41
274,Zubtsov,56.1753,34.5894,6.87,84,99,2.2,RU,2023-04-22 03:32:42
275,Oak Island,33.9166,-78.1611,21.68,76,40,2.57,US,2023-04-22 03:32:43
276,Sinop,41.7711,34.8709,7.4,87,76,0.69,TR,2023-04-22 03:32:43
277,Kavieng,-2.5744,150.7967,28.79,77,56,4.65,PG,2023-04-22 03:32:44
278,Shingu,33.7333,135.9833,20.86,35,29,2.49,JP,2023-04-22 03:30:02
279,Port Shepstone,-30.7414,30.455,16.95,64,100,2.33,ZA,2023-04-22 03:32:45
280,Coquimbo,-29.9533,-71.3436,13.85,88,0,2.06,CL,2023-04-22 03:32:46
281,Fort Bragg,35.139,-79.006,20.46,65,0,5.14,US,2023-04-22 03:32:47
282,Qa'En,33.7265,59.1844,20.75,14,29,1.22,IR,2023-04-22 03:32:47
283,Jiazi,22.8779,116.067,23.14,83,99,6.87,CN,2023-04-22 03:32:48
284,Dickinson,29.4608,-95.0513,23.05,80,40,3.6,US,2023-04-22 03:32:50
285,Goondiwindi,-28.55,150.3167,25.78,34,0,2.74,AU,2023-04-22 03:32:51
286,Zaozersk,69.4005,32.4476,-5.98,80,88,2.92,RU,2023-04-22 03:32:51
287,Westport,41.1415,-73.3579,12.53,82,100,8.75,US,2023-04-22 03:32:52
288,Newman,37.3138,-121.0208,23.99,54,86,2.68,US,2023-04-22 03:32:53
